gene,gene_synonym
LOC107303337,-3p25 PRRT3 Alu-mediated recombination region 
LOC107303342,-3p25 TatD DNase domain containing 2 Alu-mediated recombination region 
LOC107303340,"-3p25 von Hippel-Lindau tumor suppressor, E3 ubiquitin protein ligase Alu-mediated recombination region "
LOC108004532,-3q13.2-q13.31 distal HERV-H recombination region 
LOC108004531,-3q13.2-q13.31 proximal HERV-H recombination region 
LOC105369359,-40S ribosomal protein S24 pseudogene 
LOC107984891,-40S ribosomal protein S24 pseudogene 
LOC112268397,-40S ribosomal protein S24-like 
LOC100996747,-40S ribosomal protein S26 
LOC107985104,-40S ribosomal protein S27-like pseudogene 
LOC107985097,-40S ribosomal protein S29 pseudogene 
LOC101060067,-40S ribosomal protein S3 pseudogene 
LOC112268396,-40S ribosomal protein S3a-like 
LOC102723573,-40S ribosomal protein S8 pseudogene 
LOC102724737,-40S ribosomal protein S8 pseudogene 
LOC100996364,-40S ribosomal protein SA-like 
LOC102723748,-40S ribosomal protein SA-like 
SRXX3,-46XX sex reversal 3 
SRXY10,-46XY sex reversal 10 
LOC111216289,-4E3 enhancer upstream of ADH4 
LOC100129830,-5-azacytidine induced 2 pseudogene 
LOC100187725,-5-azacytidine induced 2 pseudogene 
LOC100533631,-5-azacytidine induced 2 pseudogene 
HTR1DP1,-5-hydroxytryptamine receptor 1D pseudogene 1 
HTR3C,-5-hydroxytryptamine receptor 3C 
XRN2,-5'-3' exoribonuclease 2 
LOC100420897,-5'-aminolevulinate synthase 1 pseudogene 
LOC402425,-5'-nucleotidase domain containing 1 pseudogene 
LOC100131340,-5'-nucleotidase domain containing 1 pseudogene 
NT5DC2,-5'-nucleotidase domain containing 2 
LOC100420775,-5'-nucleotidase domain containing 2 pseudogene 
NT5DC4,-5'-nucleotidase domain containing 4 
LOC100420394,"-5'-nucleotidase, cytosolic IIIA pseudogene "
NT5CP1,"-5',3'-nucleotidase, cytosolic pseudogene 1 "
NT5CP2,"-5',3'-nucleotidase, cytosolic pseudogene 2 "
NT5CP3,"-5',3'-nucleotidase, cytosolic pseudogene 3 "
LOC100131680,-52 kDa repressor of the inhibitor of the protein kinase-like 
LOC114841038,-5K-Del enhancer in SHFM1 region 
LOC108175340,-5p14.1 distal LINE-mediated recombination region 
LOC108175341,-5p14.1 proximal LINE-mediated recombination region 
PFKFB4,"-6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4 "
LOC112268018,-6.8 kDa mitochondrial proteolipid-like 
LOC112268080,-6.8 kDa mitochondrial proteolipid-like 
LOC107986378,-60S acidic ribosomal protein P1 pseudogene 
LOC648771,-60S ribosomal protein L12-like 
LOC105376670,-60S ribosomal protein L13a-like 
LOC101060076,-60S ribosomal protein L14 pseudogene 
LOC100134362,-60S ribosomal protein L19-like 
LOC105379555,-60S ribosomal protein L23a pseudogene 
LOC112268113,-60S ribosomal protein L23a pseudogene 
LOC112267945,-60S ribosomal protein L27 pseudogene 
LOC102724025,-60S ribosomal protein L29-like 
LOC107984323,-60S ribosomal protein L34 pseudogene 
LOC107985264,-60S ribosomal protein L35a-like 
LOC107986202,-60S ribosomal protein L38 pseudogene 
LOC107985813,-60S ribosomal protein L38-like 
LOC652608,-60S ribosomal protein L6-like 
LOC100128121,-60S ribosomal protein L9 pseudogene 
LOC108228209,-7q11.23 distal recombination region 
LOC108228208,-7q11.23 proximal recombination region 
LOC108004544,-8q13.2-q13.3 distal HERV-mediated recombination region 
LOC108004543,-8q13.2-q13.3 proximal HERV-mediated recombination region 
LOC108175350,-9q21.12 distal LINE-mediated recombination region 
LOC108175349,-9q21.12 proximal LINE-mediated recombination region 
LOC108254695,-9q34.3 CACNA1B recombination region 
LOC108281115,-9q34.3 EHMT1 distal recombination region 
LOC108281113,-9q34.3 PNPLA7 recombination region 
LOC108254693,-9q34.3 QSOX2 distal recombination region 
LOC108281114,-9q34.3 TOR4A distal recombination region 
LOC107985692,-A-kinase anchor protein 17B-like 
AKAP8P1,-A-kinase anchoring protein 8 pseudogene 1 
LOC100132831,-A20-binding inhibitor of NF-kappaB activation 2 pseudogene 
A2M-AS1,-A2M antisense RNA 1 
A2ML1-AS1,-A2ML1 antisense RNA 1 
A2ML1-AS2,-A2ML1 antisense RNA 2 
AADACL2-AS1,-AADACL2 antisense RNA 1 
ADCK1,-aarF domain containing kinase 1 
ADCK5,-aarF domain containing kinase 5 
ABCA9-AS1,-ABCA9 antisense RNA 1 
ABCB10P3,-ABCB10 pseudogene 3 
ABCB10P4,-ABCB10 pseudogene 4 
ABCC5-AS1,-ABCC5 antisense RNA 1 
ABHD10,-abhydrolase domain containing 10 
LOC100420531,-abhydrolase domain containing 10 pseudogene 
ABHD15,-abhydrolase domain containing 15 
LOC100287309,-abhydrolase domain containing 15 pseudogene 
LOC100420541,-abhydrolase domain containing 15 pseudogene 
LOC100420545,-abhydrolase domain containing 15 pseudogene 
LOC100421667,-abhydrolase domain containing 17C pseudogene 
ABHD6,-abhydrolase domain containing 6 
ABHD8,-abhydrolase domain containing 8 
LOC112637025,-ABO +36.0 downstream enhancer 
LOC112679198,-ABO +5.8 intron 1 enhancer 
LOC112639999,-ABO 3' regulatory region 
LOC401913,"-ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase) pseudogene "
LOC100133073,"-abraxas 1, BRCA1 A complex subunit pseudogene "
LOC100421580,"-abraxas 1, BRCA1 A complex subunit pseudogene "
ACAP2-IT1,-ACAP2 intronic transcript 1 
ACBD3-AS1,-ACBD3 antisense RNA 1 
ACAT2,-acetyl-CoA acetyltransferase 2 
LOC100420869,-acetyl-CoA acyltransferase 2 pseudogene 
ANP32AP1,-acidic nuclear phosphoprotein 32 family member A pseudogene 1 
ANP32BP1,-acidic nuclear phosphoprotein 32 family member B pseudogene 1 
ANP32BP2,-acidic nuclear phosphoprotein 32 family member B pseudogene 2 
ANP32BP3,-acidic nuclear phosphoprotein 32 family member B pseudogene 3 
ADI1P1,-acireductone dioxygenase 1 pseudogene 1 
ADI1P2,-acireductone dioxygenase 1 pseudogene 2 
ADI1P3,-acireductone dioxygenase 1 pseudogene 3 
LOC343508,"-aconitase 2, mitochondrial pseudogene "
LOC441996,"-aconitase 2, mitochondrial pseudogene "
LOC100420057,"-aconitase 2, mitochondrial pseudogene "
ACOXL-AS1,-ACOXL antisense RNA 1 
ACSL3-AS1,-ACSL3 antisense RNA 1 
ACSL6-AS1,-ACSL6 antisense RNA 1 
ACTBP1,-ACTB pseudogene 1 
ACTBP10,-ACTB pseudogene 10 
ACTBP11,-ACTB pseudogene 11 
ACTBP13,-ACTB pseudogene 13 
ACTBP14,-ACTB pseudogene 14 
ACTBP2,-ACTB pseudogene 2 
ACTBP3,-ACTB pseudogene 3 
ACTBP4,-ACTB pseudogene 4 
ACTBP7,-ACTB pseudogene 7 
ACTBP9,-ACTB pseudogene 9 
ABLIM2,-actin binding LIM protein family member 2 
ACTP1,-actin family pseudogene 1 
AFAP1L1,-actin filament associated protein 1 like 1 
LOC148709,-actin gamma 1 pseudogene 
ACTG1P11,-actin gamma 1 pseudogene 11 
ACTG1P12,-actin gamma 1 pseudogene 12 
ACTG1P13,-actin gamma 1 pseudogene 13 
ACTG1P14,-actin gamma 1 pseudogene 14 
ACTG1P15,-actin gamma 1 pseudogene 15 
ACTG1P16,-actin gamma 1 pseudogene 16 
ACTG1P17,-actin gamma 1 pseudogene 17 
ACTG1P18,-actin gamma 1 pseudogene 18 
ACTG1P19,-actin gamma 1 pseudogene 19 
ACTG1P20,-actin gamma 1 pseudogene 20 
ACTG1P21,-actin gamma 1 pseudogene 21 
ACTG1P22,-actin gamma 1 pseudogene 22 
ACTG1P23,-actin gamma 1 pseudogene 23 
LOC391334,"-actin gamma 2, smooth muscle pseudogene "
ACTL7A,-actin like 7A 
LOC100287074,-actin related protein 1A pseudogene 
LOC284441,-actin related protein 2 pseudogene 
LOC100421614,-actin related protein 2 pseudogene 
LOC204800,-actin related protein 2/3 complex subunit 1A pseudogene 
LOC260421,-actin related protein 2/3 complex subunit 1A pseudogene 
LOC260422,-actin related protein 2/3 complex subunit 1A pseudogene 
LOC100288663,-actin related protein 2/3 complex subunit 1A pseudogene 
LOC100422044,-actin related protein 2/3 complex subunit 1A pseudogene 
ARPC3P2,-actin related protein 2/3 complex subunit 3 pseudogene 2 
ARPC3P3,-actin related protein 2/3 complex subunit 3 pseudogene 3 
ARPC3P4,-actin related protein 2/3 complex subunit 3 pseudogene 4 
ARPC3P5,-actin related protein 2/3 complex subunit 3 pseudogene 5 
LOC100289004,-actin-related protein 3B-like 
LOC102723689,-actin-related protein 3B-like 
LOC391741,"-actin, beta-like 2 pseudogene "
ACTN4P1,-actinin alpha 4 pseudogene 1 
ACTN4P2,-actinin alpha 4 pseudogene 2 
ATF1P1,-activating transcription factor 1 pseudogene 1 
ATF3,-activating transcription factor 3 
ATF4P2,-activating transcription factor 4 pseudogene 2 
LOC100288365,-activating transcription factor 7 interacting protein 2 pseudogene 
ABT1P1,-activator of basal transcription 1 pseudogene 1 
ACTR3-AS1,-ACTR3 antisense RNA 1 
ACTR3P1,-ACTR3 pseudogene 1 
ACTR3P2,-ACTR3 pseudogene 2 
ACTR3P3,-ACTR3 pseudogene 3 
ACTR3BP1,-ACTR3B pseudogene 1 
ACTR3BP3,-ACTR3B pseudogene 3 
ACTR3BP4,-ACTR3B pseudogene 4 
ACTR3BP6,-ACTR3B pseudogene 6 
ACTR6P1,-ACTR6 pseudogene 1 
AIR,-Acute insulin response (2) 
ACVR2B-AS1,-ACVR2B antisense RNA 1 
ACBD5,-acyl-CoA binding domain containing 5 
ACBD6,-acyl-CoA binding domain containing 6 
LOC645877,-acyl-CoA binding domain containing 7 pseudogene 
ACAD10,-acyl-CoA dehydrogenase family member 10 
ACOX3,"-acyl-CoA oxidase 3, pristanoyl "
ACSF3,-acyl-CoA synthetase family member 3 
LOC100421637,-acyl-CoA synthetase long chain family member 3 pseudogene 
ACSM4,-acyl-CoA synthetase medium chain family member 4 
LOC100887080,-acyl-CoA synthetase medium chain family member 4 pseudogene 
ACSM5,-acyl-CoA synthetase medium chain family member 5 
ACSM5P1,-acyl-CoA synthetase medium chain family member 5 pseudogene 1 
LOC100420983,-acyl-CoA synthetase medium chain family member 6 pseudogene 
ACSS3,-acyl-CoA synthetase short chain family member 3 
LOC100301516,-acyl-CoA thioesterase 13 pseudogene 
LOC644189,-acyl-CoA thioesterase 4 pseudogene 
LOC344967,-acyl-CoA thioesterase 7 pseudogene 
LOC107984829,-acyl-CoA-binding domain-containing protein 7-like 
ADAM1B,-ADAM metallopeptidase domain 1B (pseudogene) 
ADAM20,-ADAM metallopeptidase domain 20 
LOC646548,-ADAM metallopeptidase domain 20 pseudogene 
LOC100420563,-ADAM metallopeptidase domain 20 pseudogene 
ADAM20P2,-ADAM metallopeptidase domain 20 pseudogene 2 
ADAM20P3,-ADAM metallopeptidase domain 20 pseudogene 3 
LOC342443,-ADAM metallopeptidase domain 21 pseudogene 
ADAM32,-ADAM metallopeptidase domain 32 
LOC100130964,-ADAM metallopeptidase domain 3A-like 
ADAMTS14,-ADAM metallopeptidase with thrombospondin type 1 motif 14 
ADAMTS15,-ADAM metallopeptidase with thrombospondin type 1 motif 15 
ADAMTS19,-ADAM metallopeptidase with thrombospondin type 1 motif 19 
LOC100422416,-ADAM metallopeptidase with thrombospondin type 1 motif 7 pseudogene 
ADAMTS9,-ADAM metallopeptidase with thrombospondin type 1 motif 9 
ADAMTS19-AS1,-ADAMTS19 antisense RNA 1 
ADAMTS7P3,-ADAMTS7 pseudogene 3 
ADAMTS7P4,-ADAMTS7 pseudogene 4 
ADAMTS9-AS1,-ADAMTS9 antisense RNA 1 
ADAMTS9-AS2,-ADAMTS9 antisense RNA 2 
ADAMTSL4-AS2,-ADAMTSL4 antisense RNA 2 
LOC645388,-adaptor related protein complex 1 mu 2 subunit pseudogene 
LOC653653,-adaptor related protein complex 1 sigma 2 subunit pseudogene 
LOC100131348,-adaptor related protein complex 2 beta 1 subunit pseudogene 
LOC401602,-adaptor related protein complex 2 subunit beta 1 pseudogene 
LOC643454,-adaptor related protein complex 3 sigma 1 subunit pseudogene 
AP3M1,-adaptor related protein complex 3 subunit mu 1 
LOC100421655,-adaptor related protein complex 3 subunit mu 2 pseudogene 
LOC100289381,-adaptor related protein complex 3 subunit sigma 1 pseudogene 
LOC107001063,-adaptor related protein complex 3 subunit sigma 1 pseudogene 
LOC100131124,-adaptor related protein complex 4 sigma 1 subunit pseudogene 
LOC100421559,-adaptor related protein complex 5 mu 1 subunit pseudogene 
ADCY10P1,-ADCY10 pseudogene 1 
ADD3-AS1,-ADD3 antisense RNA 1 
ADCP1,-adenosine deaminase complexing protein 1 
ADAD1P1,-adenosine deaminase domain containing 1 pseudogene 1 
ADAD1P2,-adenosine deaminase domain containing 1 pseudogene 2 
AMPD3,-adenosine monophosphate deaminase 3 
AHCYP1,-adenosylhomocysteinase pseudogene 1 
AHCYP2,-adenosylhomocysteinase pseudogene 2 
AHCYP3,-adenosylhomocysteinase pseudogene 3 
AHCYP4,-adenosylhomocysteinase pseudogene 4 
AHCYP5,-adenosylhomocysteinase pseudogene 5 
AHCYP6,-adenosylhomocysteinase pseudogene 6 
AHCYP7,-adenosylhomocysteinase pseudogene 7 
AHCYP8,-adenosylhomocysteinase pseudogene 8 
LOC645272,-adenosylmethionine decarboxylase 1 pseudogene 
LOC100420741,-adenosylmethionine decarboxylase 1 pseudogene 
AMD1P1,-adenosylmethionine decarboxylase 1 pseudogene 1 
AMD1P3,-adenosylmethionine decarboxylase 1 pseudogene 3 
AMD1P4,-adenosylmethionine decarboxylase 1 pseudogene 4 
AK2P2,-adenylate kinase 2 pseudogene 2 
LOC100499399,-adenylate kinase 3 pseudogene 
AK3P3,-adenylate kinase 3 pseudogene 3 
AK3P4,-adenylate kinase 3 pseudogene 4 
AK3P5,-adenylate kinase 3 pseudogene 5 
AK3P6,-adenylate kinase 3 pseudogene 6 
AK4P2,-adenylate kinase 4 pseudogene 2 
AK4P4,-adenylate kinase 4 pseudogene 4 
AK4P5,-adenylate kinase 4 pseudogene 5 
AK4P6,-adenylate kinase 4 pseudogene 6 
AK6P1,-adenylate kinase 6 pseudogene 1 
AK6P2,-adenylate kinase 6 pseudogene 2 
LOC390877,-adenylate kinase isoenzyme 1-like 
LOC101928016,-adenylate kinase isoenzyme 6 pseudogene 
ADGRF5-AS1,-ADGRF5 antisense RNA 1 
ADH5P2,-ADH5 pseudogene 2 
ADH5P3,-ADH5 pseudogene 3 
ADIPOR1P1,-adiponectin receptor 1 pseudogene 1 
ADIPOR1P2,-adiponectin receptor 1 pseudogene 2 
ADIPOQ-AS1,-ADIPOQ antisense RNA 1 
ADIRF-AS1,-ADIRF antisense RNA 1 
ADNP-AS1,-ADNP antisense RNA 1 
ARF1P2,-ADP ribosylation factor 1 pseudogene 2 
ARF1P3,-ADP ribosylation factor 1 pseudogene 3 
ARF2P,"-ADP ribosylation factor 2, pseudogene "
ARF3,-ADP ribosylation factor 3 
ARF4P3,-ADP ribosylation factor 4 pseudogene 3 
ARF4P4,-ADP ribosylation factor 4 pseudogene 4 
ARF4P5,-ADP ribosylation factor 4 pseudogene 5 
ARF5,-ADP ribosylation factor 5 
ARF6,-ADP ribosylation factor 6 
LOC442603,-ADP ribosylation factor 6 pseudogene 
LOC100216337,-ADP ribosylation factor like GTPase 1 pseudogene 
ARL14EPL,-ADP ribosylation factor like GTPase 14 effector protein like 
LOC100420948,-ADP ribosylation factor like GTPase 14 effector protein pseudogene 
ARL16,-ADP ribosylation factor like GTPase 16 
LOC100420494,-ADP ribosylation factor like GTPase 16 pseudogene 
LOC102724345,-ADP ribosylation factor like GTPase 17A pseudogene 
LOC102929163,-ADP ribosylation factor like GTPase 17A pseudogene 
ARL2BPP10,-ADP ribosylation factor like GTPase 2 binding protein pseudogene 10 
ARL2BPP3,-ADP ribosylation factor like GTPase 2 binding protein pseudogene 3 
ARL2BPP4,-ADP ribosylation factor like GTPase 2 binding protein pseudogene 4 
ARL2BPP5,-ADP ribosylation factor like GTPase 2 binding protein pseudogene 5 
ARL2BPP6,-ADP ribosylation factor like GTPase 2 binding protein pseudogene 6 
ARL2BPP7,-ADP ribosylation factor like GTPase 2 binding protein pseudogene 7 
ARL2BPP8,-ADP ribosylation factor like GTPase 2 binding protein pseudogene 8 
ARL2BPP9,-ADP ribosylation factor like GTPase 2 binding protein pseudogene 9 
ARL4AP3,-ADP ribosylation factor like GTPase 4A pseudogene 3 
ARL4AP4,-ADP ribosylation factor like GTPase 4A pseudogene 4 
ARL4AP5,-ADP ribosylation factor like GTPase 4A pseudogene 5 
LOC641378,-ADP ribosylation factor like GTPase 5A pseudogene 
LOC641381,-ADP ribosylation factor like GTPase 5A pseudogene 
ARL5AP1,-ADP ribosylation factor like GTPase 5A pseudogene 1 
ARL5AP2,-ADP ribosylation factor like GTPase 5A pseudogene 2 
ARL5AP3,-ADP ribosylation factor like GTPase 5A pseudogene 3 
ARL5AP4,-ADP ribosylation factor like GTPase 5A pseudogene 4 
ARL6IP1P2,-ADP ribosylation factor like GTPase 6 interacting protein 1 pseudogene 2 
ARL6IP1P3,-ADP ribosylation factor like GTPase 6 interacting protein 1 pseudogene 3 
LOC100216346,-ADP ribosylation factor like GTPase 6 interacting protein 6 pseudogene 
LOC100131223,-ADP ribosylation factor like GTPase 8B pseudogene 
LOC100131625,-ADP ribosylation factor like GTPase 8B pseudogene 
ARL9,-ADP ribosylation factor like GTPase 9 
LOC101060021,-ADP-ribosylation factor 1 pseudogene 
LOC100996709,-ADP-ribosylation factor-like protein 17 
LOC107984156,-ADP-ribosylation factor-like protein 17 
ART2BP,"-ADP-ribosyltransferase 2B, pseudogene "
LOC100510709,-ADP/ATP translocase 2-like 
ADPGK-AS1,-ADPGK antisense RNA 1 
AEBP2,-AE binding protein 2 
AFF1-AS1,-AFF1 antisense RNA 1 
AFF2-IT1,-AFF2 intronic transcript 1 
AGAP1-IT1,-AGAP1 intronic transcript 1 
AGBL1-AS1,-AGBL1 antisense RNA 1 
AGBL4-AS1,-AGBL4 antisense RNA 1 
AGBL4-IT1,-AGBL4 intronic transcript 1 
AGBL5-AS1,-AGBL5 antisense RNA 1 
AGBL5-IT1,-AGBL5 intronic transcript 1 
ARHI1,-Age-related hearing impairment 1 
ARHI2,-Age-related hearing impairment 2 
AIFM1P1,-AIFM1 pseudogene 1 
LOC646999,-akirin 1 pseudogene 
AKIRIN1P1,-akirin 1 pseudogene 1 
AKIRIN1P2,-akirin 1 pseudogene 2 
LOC100216488,-akirin 2 pseudogene 
AKIRIN2P1,-akirin 2 pseudogene 1 
AKT3-IT1,-AKT3 intronic transcript 1 
AARSD1,-alanyl-tRNA synthetase domain containing 1 
LOC100421400,-alanyl-tRNA synthetase domain containing 1 pseudogene 
LOC108663984,-ALAS2 intron 1 and 3 erythroid regulatory elements 
LOC111832671,-albumin (ALB) 5' regulatory region 
LOC100190934,"-alcohol dehydrogenase 5 (class III), chi polypeptide pseudogene "
ALDH16A1,-aldehyde dehydrogenase 16 family member A1 
ALDH1L1-AS1,-ALDH1L1 antisense RNA 1 
ALDH1L1-AS2,-ALDH1L1 antisense RNA 2 
AKR1B1P6,-aldo-keto reductase family 1 member B1 pseudogene 6 
AKR1B1P7,-aldo-keto reductase family 1 member B1 pseudogene 7 
AKR1B1P8,-aldo-keto reductase family 1 member B1 pseudogene 8 
AKR1B10P1,-aldo-keto reductase family 1 member B10 pseudogene 1 
AKR1B10P2,-aldo-keto reductase family 1 member B10 pseudogene 2 
AKR1C5P,"-aldo-keto reductase family 1 member C5, pseudogene "
AKR1C7P,"-aldo-keto reductase family 1 member C7, pseudogene "
LOC159007,-aldo-keto reductase family 7 member A2 pseudogene 
ALDOAP1,-ALDOA pseudogene 1 
ALDOAP2,-ALDOA pseudogene 2 
ALG1L2,-ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase like 2 
ALG1L10P,"-ALG1 like 10, pseudogene "
ALG1L11P,"-ALG1 like 11, pseudogene "
ALG1L12P,"-ALG1 like 12, pseudogene "
ALG1L13P,"-ALG1 like 13, pseudogene "
ALG1L14P,"-ALG1 like 14, pseudogene "
ALG1L15P,"-ALG1 like 15, pseudogene "
ALG1L3P,"-ALG1 like 3, pseudogene "
ALG1L5P,"-ALG1 like 5, pseudogene "
ALG1L6P,"-ALG1 like 6, pseudogene "
ALG1L7P,"-ALG1 like 7, pseudogene "
ALG1L8P,"-ALG1 like 8, pseudogene "
ALG1L9P,"-ALG1 like 9, pseudogene "
LOC100422633,"-ALG11, alpha-1,2-mannosyltransferase pseudogene "
ALG13-AS1,-ALG13 antisense RNA 1 
ALG14-AS1,-ALG14 antisense RNA 1 
ALG3P1,-ALG3 pseudogene 1 
ALG9-IT1,-ALG9 intronic transcript 1 
LOC645978,-alkaline ceramidase 2 pseudogene 
ALPQTL2,"-Alkaline phosphatase, plasma level of, QTL 2 "
ALKBH3-AS1,-ALKBH3 antisense RNA 1 
LOC646804,-alkylated DNA repair protein alkB homolog 8-like 
ALMS1-IT1,-ALMS1 intronic transcript 1 
AA1,-Alopecia areata 1 
AA2,-Alopecia areata 2 
APMR2,-Alopecia with mental retardation syndrome 2 
APMR3,-Alopecia-mental retardation syndrome 3 
AGA2,"-Alopecia, androgenetic, 2 "
AGA3,"-Alopecia, androgenetic, 3 "
ALOX12-AS1,-ALOX12 antisense RNA 1 
LOC111832670,-alpha fetoprotein (AFP) 5' regulatory region 
LOC100506747,"-alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase-like protein LOC641515 homolog "
OVOS2,-alpha-2-macroglobulin like 1 pseudogene 
OVOS,-alpha-2-macroglobulin like 1 pseudogene 
AD12,-Alzheimer disease 12 
AD14,-Alzheimer disease 14 
AD16,-Alzheimer disease 16 
AD17,-Alzheimer disease 17 
AD5,-Alzheimer disease 5 
AD6,-Alzheimer disease 6 
AD7,-Alzheimer disease 7 
AD8,-Alzheimer disease 8 
AD9,-Alzheimer disease 9 
AIH3,"-amelogenesis imperfecta 3, hypomaturation or hypoplastic type "
LOC108783649,-AMH 5' regulatory region 
AIMP1P2,-aminoacyl tRNA synthetase complex interacting multifunctional protein 1 pseudogene 2 
LOC100418959,-aminoacylase 1 pseudogene 
AMMECR1-IT1,-AMMECR1 intronic transcript 1 
AMMECR1LP1,-AMMECR1 like pseudogene 1 
LOC100422491,-amyloid beta precursor protein binding family A member 2 pseudogene 
LOC100422492,-amyloid beta precursor protein binding family A member 2 pseudogene 
ALS7,-amyotrophic lateral sclerosis 7 
LOC732229,-AN1-type zinc finger protein 5 pseudogene 
LOC285074,-anaphase promoting complex subunit 1 pseudogene 
LOC402096,-anaphase promoting complex subunit 1 pseudogene 
LOC730268,-anaphase promoting complex subunit 1 pseudogene 
LOC100420889,-anaphase promoting complex subunit 1 pseudogene 
LOC100420890,-anaphase promoting complex subunit 1 pseudogene 
ANAPC1P1,-anaphase promoting complex subunit 1 pseudogene 1 
LOC100192388,-anaphase promoting complex subunit 13 pseudogene 
LOC100192389,-anaphase promoting complex subunit 13 pseudogene 
LOC102724642,-anaphase-promoting complex subunit 1-like 
LOC107985931,-anaphase-promoting complex subunit 1-like 
ANCV1RP,-ancient vomeronasal 1 receptor pseudogene 
AIG1P1,-androgen induced 1 pseudogene 1 
AAA3,"-Aneurysm, familial abdominal 3 "
ANIB4,"-aneurysm, intracranial berry 4 "
ANIB10,"-Aneurysm, intracranial berry, 10 "
ANIB11,"-Aneurysm, intracranial berry, 11 "
ANIB5,"-Aneurysm, intracranial berry, 5 "
ANIB6,"-Aneurysm, intracranial berry, 6 "
ANIB7,"-Aneurysm, intracranial berry, 7 "
ANIB8,"-Aneurysm, intracranial berry, 8 "
ANIB9,"-Aneurysm, intracranial berry, 9 "
LOC102723312,-angiogenic factor with G patch and FHA domains 1 pseudogene 
LOC102724937,-angiogenic factor with G patch and FHA domains 1 pseudogene 
LOC100996375,-angiogenic factor with G patch and FHA domains 1-like 
LOC102724962,-angiogenic factor with G patch and FHA domains 1-like 
AGGF1P1,-angiogenic factor with G-patch and FHA domains 1 pseudogene 1 
AGGF1P10,-angiogenic factor with G-patch and FHA domains 1 pseudogene 10 
AGGF1P2,-angiogenic factor with G-patch and FHA domains 1 pseudogene 2 
AGGF1P3,-angiogenic factor with G-patch and FHA domains 1 pseudogene 3 
AGGF1P4,-angiogenic factor with G-patch and FHA domains 1 pseudogene 4 
AGGF1P5,-angiogenic factor with G-patch and FHA domains 1 pseudogene 5 
AGGF1P6,-angiogenic factor with G-patch and FHA domains 1 pseudogene 6 
AGGF1P7,-angiogenic factor with G-patch and FHA domains 1 pseudogene 7 
AGGF1P8,-angiogenic factor with G-patch and FHA domains 1 pseudogene 8 
AGGF1P9,-angiogenic factor with G-patch and FHA domains 1 pseudogene 9 
